price,bedrooms,bathrooms,area,property_type,city,region,latitude,longitude,agency,price_per_m
3861000,2,2,130,Apartment,New Capital City,Cairo,29.97070459671,31.796091226155,deal,29700
24000000,3,4,160,Villa,New Cairo,Cairo,30.0600801,31.5985531,Egypt Best Properties (EBP,150000
3763690,3,3,192,Apartment,New Capital City,Cairo,29.9693233,31.7834684,deal,19602
15800000,6,6,680,Villa,New Cairo,Cairo,30.0123585,31.4469381,Property Hills One 1,23235
5900000,3,3,170,Apartment,New Cairo,Cairo,30.07349031,31.60085522,Green Home,34705
6000000,4,4,196,Apartment,Sheikh Zayed,Giza,30.0648376,30.94684,Property Hills Plus,30612
13900000,6,6,677,Villa,New Cairo,Cairo,30.0123585,31.4469381,Property Hills One 1,20531
7850000,4,4,235,Apartment,New Cairo,Cairo,30.07349031,31.60085522,Green Home,33404
15000000,6,6,597,Villa,New Cairo,Cairo,30.0123585,31.4469381,Property Hills One 1,25125
9893000,3,3,153,Apartment,New Heliopolis,Cairo,30.166137,31.6680496,Allocate Real Estate,64660
13000000,6,6,595,Villa,New Cairo,Cairo,30.0123585,31.4469381,Property Hills One 1,21848
22500000,5,4,261,Villa,Shorouk City,Cairo,30.1158572,31.6235277,Property Hills One 1,86206
12000000,6,5,314,Villa,Sheikh Zayed,Giza,30.076691,30.8767599,Property Hills Plus,38216
6333711,3,3,134,Apartment,6th of October,Giza,29.8561331,30.9018623,Egypt Best Properties (EBP,47266
13200000,3,3,132,Apartment,6th of October,Giza,29.993266271953,31.027445602569,Egypt Best Properties (EBP,100000
14000000,3,3,130,Apartment,6th of October,Giza,29.98517849,31.04999818,Egypt Best Properties (EBP,107692
10000000,2,3,300,Apartment,Sheikh Zayed,Giza,30.0667664,30.9410196,Property Hills Plus,33333
6600000,3,3,205,Apartment,Sheikh Zayed,Giza,30.0648376,30.94684,Property Hills Plus,32195
7078500,3,3,175,Apartment,New Heliopolis,Cairo,30.16528,31.68815,Better House Development,40448
6250000,3,2,155,Apartment,Smoha,Alexandria,31.21536,29.94034,Hub for real estate,40322
10000000,2,2,128,Apartment,New Cairo,Cairo,30.0259103,31.5359166,Coldwell Banker Analista,78125
8350000,3,3,199,Apartment,New Cairo,Cairo,30.025056,31.5948035,Coldwell Banker Analista,41959
16000000,2,2,250,Apartment,Zamalek,Cairo,30.0569,31.22129,Falcon Real Estate,64000
9500000,3,3,142,Apartment,New Cairo,Cairo,30.0598936,31.4083263,trends real estate,66901
18500000,2,2,102,Apartment,North Coast,Matruh,31.1956859,27.554789,Quality Holding,181372
11700000,3,3,200,Apartment,6th of October,Giza,29.985869155517,30.923008050923,Nubian Group,58500
5500000,2,2,130,Apartment,North Coast,Matruh,30.8583492,28.9042079,Falcon Real Estate,42307
